BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_JSON_V1_incomplete,495408.336,495215.566,496571.748,493528.134,491446.06,493351.754,490892.388,483362.684,491248.395,491457.211,495269.064,496081.381,497181.655,496092.295,493429.264,491624.015,490527.481,495717.954,496720.895,495158.788,497315.36,495189.549,497437.849,496791.99,495622.248,497073.668,488811.043,490595.571,493240.228,493225.624,0.63745167
zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_niceErrorOnIncomplete_annotation,113339.081,113594.373,113580.312,113532.325,113330.255,113774.758,115327.258,115032.374,115289.724,115090.787,115424.614,114972.257,115192.999,114965.164,115233.603,115375.507,115340.929,115384.906,115266.634,115346.555,115226.51,115246.278,115097.28,114597.276,115234.861,115393.117,114018.544,115628.814,115203.197,115357.438,0.638200014
zipkin2.SpanTest._Benchmark.benchmark_builder_merge_remoteEndpoint_merge,11033.948,11180.534,11183.745,11172.877,11201.471,11186.669,11324.854,11337.307,11315.587,11333.493,11314.256,11309.569,11329.023,11304.053,11311.461,11340.197,11320.829,11333.043,11301.645,11315.359,11325.334,11329.847,11319.466,11315.229,11344.273,11337.631,11324.146,11336.867,11323.542,11313.945,0.638939105
zipkin2.SpanTest._Benchmark.benchmark_builder_merge_remoteEndpoint_redundant,11025.284,11113.969,11105.065,11123.524,11114.577,11112.53,11291.872,11242.181,11259.802,11259.122,11275.953,11269.577,11253.337,11280.837,11280.092,11274.284,11270.437,11279.036,11279.109,11268.398,11291.251,11276.282,11276.45,11267.767,11284.281,11270.12,11272.249,11267.433,11257.495,11255.372,0.643605151
zipkin2.internal.Proto3ZipkinFieldsTest._Benchmark.benchmark_span_write_omitsEmptyEndpoints,832827.524,839464.628,833999.265,836793.848,834510.677,833189.512,833756.103,832218.736,831604.044,834841.476,835903.191,832474.07,831006.408,832060.507,826884.861,808998.242,839737.179,834143.347,836084.884,834549.09,831144.747,837601.673,832554.145,833710.944,835064.185,830672.566,838382.138,833747.949,835062.272,837287.786,0.644038975
zipkin2.internal.V1JsonSpanWriterTest._Benchmark.benchmark_writesCoreAnnotations_server,284741.384,283833.537,284006.874,283740.656,283470.07,285069.084,282705.81,284333.527,280503.428,276949.946,280506.774,280459.198,281200.821,280756.418,281205.617,280047.162,282024.359,282933.261,280772.872,281707.317,280830.198,281635.07,281979.274,282935.565,283508.284,284246.842,283715.318,284571.653,283495.225,283614.718,0.646286007
zipkin2.internal.V1JsonSpanWriterTest._Benchmark.benchmark_writesCoreSendAnnotations_producer,338945.372,341085.999,339835.647,341010.391,340819.594,339347.82,335013.415,336648.303,329193.989,337819.18,336618.078,337949.461,338314.693,338989.999,338728.054,338654.836,340128.135,338054.837,337973.548,339005.465,337274.326,337154.16,336611.201,336071.032,337691.321,337005.398,338056.863,337048.22,336487.493,337217.21,0.653409715
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_json_v2_partial_remoteEndpoint,728341.702,726969.835,725221.273,723600.924,716623.542,705715.194,725438.011,727375.323,727526.441,728753.744,728730.885,729175.757,729791.339,725908.782,723354.075,727501.861,724892.865,723322.178,726644.703,729324.274,728595.153,728398.512,727787.81,728479.696,727307.168,726697.128,721283.411,721507.625,721583.529,723473.363,0.659443748
zipkin2.v1.SpanConverterTest._Benchmark.benchmark_clientAndServer_loopback,480086.43,478587.099,477338.074,474561.069,471939.449,465948.235,480300.118,479135.359,481363.331,478745.449,479029.128,475006.011,477297.634,477101.186,479906.621,480047.281,480797.965,479528.752,479973.077,479565.944,481015.362,479984.613,478961.615,478925.748,477660.484,479529.004,481097.661,480844.239,480503.072,478785.506,0.659508577
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_noTimestamp,662876.418,661088.415,664895.444,666816.408,667649.557,666752.932,665689.279,663492.325,660540.796,659012.172,663352.411,663766.842,665432.039,661532.356,662542.001,663750.3,665138.94,666479.479,662657.873,647430.35,663576.866,669466.194,669708.245,666224.413,668797.437,669333.639,669881.822,668618.827,667039.842,668901.934,0.664227971
zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_niceErrorOnNull_id,116174.792,116518.647,117603.904,117574.444,117884.044,117612.212,118515.049,117905.234,117614.398,117033.585,116064.518,118572.7,118475.302,119361.236,118316.329,119018.439,118632.943,118317.982,118586.937,118322.059,118682.698,118559.332,118357.578,117741.245,118000.673,117759.043,116949.921,118374.049,118351.339,117769.402,0.668191677
zipkin2.v1.SpanConverterTest._Benchmark.benchmark_server_missingSr,657923.849,659381.423,659387.418,657999.971,662456.927,661388.002,661357.752,662241.967,662494.56,660948.001,657803.128,657536.734,660684.247,661225.192,663427.218,661773.569,662313.362,662548.438,661288.136,658063.19,654294.418,657991.483,657756.11,650655.893,641340.722,658808.576,656467.614,653702.048,660409.836,660369.576,0.669340324
